Question	Answer	Marks
Explain meaningfulness in measurement	Measurement making the things measurable:-  -Measuring makes not measurable things measurable.  -Measuring the unmeasurable helps to understand the particular entities and attributes, it also helps in making engineering more powerful.	2
Explain meaningfulness in measurement	Types of Measurements:  Depending on the method, measurements are classified into two types: a) Direct measurement and b) Indirect measurement  Direct Measurement:  When measurements are taken directly using tools, instruments, or other calibrated measuring devices, they are called direct measurements e.g. Measurement of the length of a table by meter scale.  Indirect Measurement:  When the measurement must be done through a formula or other calculations, the measurement is called indirect measurement e.g. Measurement of the radius of the Earth.	2
Explain meaningfulness in measurement	Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in radar system enables to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  -Measurement in weather system are used to predict weather.  Units of Measurements:  For any measurement, a number and unit are required. When we say that the time is 5 second, then we mean that the said time is 5 times a certain standard time called 1 second.  A unit is a selected magnitude of a physical variable in terms of which other magnitudes of the same variable can be expressed. Measurement without unit has no meaning.	2
Explain meaningfulness in measurement	Measurement is the assignment of a number to a characteristic of an object or event, which can be compared with other objects or events. The scope and application of measurement are dependent on the context and discipline.  -Taking proper medicine. If you an illness (whether serious or minor) you need to take your medicine and take it in the proper amount. If you take too little or too much then you are not going to get the proper benefit from it.  -Purchasing clothes. Now, how important could measurements be when selecting clothes? After all, to look good in clothing the main thing you need to pay attention to is style, right? Well, if you weigh 200lbs you aren't going to look stylish in an extra small shirt. Clothing is all based on size and proper fitting which are, of course, variants of measurement.	2
Explain the objectives for software measurement with the perspective of manager and engineer	“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.  -Entity is an object or events in the real world.  -An attribute is a feature or property of an entity (such as color of room, the cost of journey or elapsed time of testing phase).  -In general there are two kinds of qualification:-  (i)Measurement is a direct qualification  (ii) Calculation is indirect qualification, where we take measurement attribute whose value we are trying to understand.	2
Explain the objectives for software measurement with the perspective of manager and engineer	-Software engineering includes various activities like managing, planning, costing, analyzing, specifying, designing, testing and maintenance.  -Measurement in software is used in all above activities, so each activity is understood and controlled.  -In such a way the products quality is measured and is priced according to it.	2
Explain the objectives for software measurement with the perspective of manager and engineer	Productivity  Code Quality  Code Complexity  Software Risk  Technical Debt  Software Size  Compliance to Standards and Regulations  If your developers are not producing high-quality code or not meeting architecture standards, then numerous problems are likely to surface during or after application implementation. These include increased IT costs, additional maintenance efforts, and reduced security within a complex infrastructure. Software measurement and metrics provide an accurate, objective approach to evaluating these key factors. By having objective metrics, you can more easily identify improvement areas and monitor each effort made toward better development practices.	2
Explain the objectives for software measurement with the perspective of manager and engineer	Software Metrics is a collective term used to describe the very wide range of activities concerned with measurement in software engineering  Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined unambiguous rules.  Once measures are collected they are converted into metrics for use. IEEE defines metric as 'a quantitative measure of the degree to which a system, component, or process possesses a given attribute.	2
Explain the objectives for software measurement with the perspective of manager and engineer	The framework for software measurement is based on four principles −  Classifying the entities to be examined  Determining relevant measurement goals  Identifying the level of maturity that the organization has reached  Classifying the Entities to be Examined  In software engineering, mainly three classes of entities exist. They are −  Processes  Products  Resources	2
What is representational theory of measurement Explain in detail	There are many representational theory for measurement, some of them are as given below  (i)Empirical relation:-There are three types of Empirical relation depending upon the relation we define either on single element (entity) of a set or on collection of elements.  (a)Unary relation  (b)Binary relation  (c)Ternary relation  (ii)Rules of mapping:-  -When we have map the attribute of entity from real world to mathematical world, we have many choices for mapping and range.  -Mapping may be different depending upon conventions we adopt.  (iii)Representation condition of measurement:-  -Representation condition states that a measurement mapping M must map entities into numbers and Empirical relations into numerical relation (mathematical relation) in such a way that Empirical relations are preserved and are preserved by mathematical relations.	2
What is representational theory of measurement Explain in detail	There are several types of representational theory for measurement and some of them are given below  (i)Empirical relation:-In Empirical relation there are three types of relations depending on the relation we define on single element of a set or on collection  of elements.  (ii) Rules of mapping :-  -Real world is a domain of mapping and mathematical words is range of mapping.  (iii)Representation condition of measurement:-  -Representation condition states that a measurement mapping M should map entities in numbers and Empirical relations in numerical relation in such a way that the Empirical relations are maintained and are maintained by the mathematical relations.	2
What is representational theory of measurement Explain in detail	Measurement tells us the rules laying the ground work for developing and reasoning about all kinds of measurement. It is the mapping from the empirical world to the formal relational world. Consequently, a measure is the number or symbol assigned to an entity by this mapping in order to characterize an entity.  The Representational Condition of Measurement:-  The representational condition asserts that a measurement mapping (M) must map entities into numbers, and empirical relations into numerical relations in such a way that the empirical relations preserve and are preserved by numerical relations.	2
What is representational theory of measurement Explain in detail	"In the representational theory, measurement is defined as ""the correlation of numbers with entities that are not numbers”. The most technically elaborated form of representational theory is also known as additive conjoint measurement. In this form of representational theory, numbers are assigned based on correspondences or similarities between the structure of number systems and the structure of qualitative systems. A property is quantitative if such structural similarities can be established. In weaker forms of representational theory, such as that implicit within the work of Stanley Smith Stevens, numbers need only be assigned according to a rule."	2
What is representational theory of measurement Explain in detail	The process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined rules.  The  idea behind the representational theory of measurement is elaborated in the following observations.  EMPIRICAL RELATIONS SYSTEM       The aim is to be able to compare entities. However, it is not automatic that any two   entities E  1   and E  2   are comparable. A comparison between E  1   and E  2   is about relating E  1     and E  2   with respect to some (salient) attribute.      Definition [Empirical Relations System]. Let E is the set of entities and R  E   is the set of   empirical relations for a (salient) attribute A. Then, an empirical relations system is a   couple (E, R  E  ).      The purpose of (E, R  E  ) is to define the intuitive meaning of A by identifying the   empirical relations that hold for A.      A relation can be defined on a single element of a set, or a collection of elements of a   set.      5.1. ORDERS OF RELATIONS      The relations can be classified in different ways, including whether they are unary,   binary, ternary, and so on.      For example, for the attribute height of entities that are humans, a unary empirical   relation is “is tall”.  EMPIRICAL RELATIONS SYSTEM       The aim is to be able to compare entities. However, it is not automatic that any two   entities E  1   and E  2   are comparable. A comparison between E  1   and E  2   is about relating E  1     and E  2   with respect to some (salient) attribute.      Definition [Empirical Relations System]. Let E is the set of entities and R  E   is the set of   empirical relations for a (salient) attribute A. Then, an empirical relations system is a   couple (E, R  E  ).      The purpose of (E, R  E  ) is to define the intuitive meaning of A by identifying the   empirical relations that hold for A.      A relation can be defined on a single element of a set, or a collection of elements of a   set.      5.1. ORDERS OF RELATIONS      The relations can be classified in different ways, including whether they are unary,   binary, ternary, and so on.      For example, for the attribute height of entities that are humans, a unary empirical   relation is “is tall”.  Empirical relation system   The aim is to be able to compare entities. However, it is not automatic that any two entities E1 and E2 are comparable. A comparison between E1 and E2 is about relating E1 and E2 with respect to some (salient) attribute.	2
what is software metrics Explain scope of software metrics in detail	Software metrics is a term that provides many activities, all of which involves some degree of software measurement:-  (i)Cost and effort estimation:-  -We have to use cost and effort estimation models to predict the cost of project during earlier phases of software development life cycle.  -for example Boehm’s Cocomo model, Putnam’s SLIM model,  Regression based model, etc.  (ii)Productivity models and measures:-  -There are several measures and models or assessing the staff productivity during software process and indifferent environments.  -The productivity is a function of value and cast; each is then decomposed into other aspects expressed in measurable form.	2
what is software metrics Explain scope of software metrics in detail	There are many types of software metrics, Software metrics are used to measure the quality of the software.  (i) Productivity models and measures:-  -There are many measures and models or evaluating the staff productivity at the time of process and common environments.  -The productivity is a function of value and cost; they are later divided into other aspects which can be measured.  (ii) Evaluation of methods and tools:-  -New methods and tools are used by many organization to make the product more cheaper.  -The organizations perform experiments where they run case studies or administrator surveys to help them decide if a tool or a method is making a positive effect in their particular situation.  -This evaluation is dependent upon good experimental design, identifying the factors that can affect the outcome and correct measurement if factor attributes.	2
what is software metrics Explain scope of software metrics in detail	Software metrics refer to the standard of measure which holds properties of  any software system or processes. It provides the following activities for this purpose-  (i)Management by metrics:-  - managing a software project requires a vital role of measurement.  - measurement-based charts are highly reliable for customers, users, and developers alike to track the project’s progress.  - several organizations determine a specific set of measurements and reporting methods to compare and contrast the project.  - it helps in making customers understand the project progress better even without any pre requisite knowledge in software terminology or jargon.  (ii)Evaluation of Methods and tools:-  - new methods and tools are devised by organizations to make products better and cheaper.  - these new methods and tools are tested, experimented and surveyed to decide the potential outcome it will make in the particular situation.  - this evaluation is carried out with good experimental design, appropriate identification of factors which affect outcome and proper measurements of factor attributes.  (iii)Data collection:-  - data collection is significant when it comes to the quality of any measurement program.	2
what is software metrics Explain scope of software metrics in detail	A software metric is a measure of software characteristics which are quantifiable or countable. Software metrics are important for many reasons, including measuring software performance, planning work items, measuring productivity, and many other uses.    Within the software development process, there are many metrics that are all related to each other. Software metrics are related to the four functions of management: Planning, Organization, Control, or Improvement.	2
what is software metrics Explain scope of software metrics in detail	Software development metrics are quantitative measurements of a software product or project, which can help management understand software performance, quality, or the productivity and efficiency of software teams.  Types of Software Metrics  Formal code metrics—Such as Lines of Code (LOC), code complexity, Instruction Path Length, etc. In modern development environments, these are considered less useful.  Developer productivity metrics—Such as active days, assignment scope, efficiency and code churn. These metrics can help you understand how much time and work developers are investing in a software project.	2
Explain meaningfulness in measurement	“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.  Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.  Measurement for understanding, control and improvement:-  -Measurement help us to understand what is happening during the development or maintenance.	3
Explain meaningfulness in measurement	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement lets us understand the information about attributes of entities.  Measurement in everyday life:-  -Measurement is used in economics to determine price of the products in the market.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.	3
Explain meaningfulness in measurement	Types of Measurements:  Depending on the method, measurements are classified into two types: a) Direct measurement and b) Indirect measurement  Direct Measurement:  When measurements are taken directly using tools, instruments, or other calibrated measuring devices, they are called direct measurements e.g. Measurement of the length of a table by meter scale.  Indirect Measurement:  When the measurement must be done through a formula or other calculations, the measurement is called indirect measurement e.g. Measurement of the radius of the Earth.	3
Explain meaningfulness in measurement	Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in radar system enables to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  -Measurement in weather system are used to predict weather.  Types of Measurements:  Depending on the method, measurements are classified into two types: a) Direct measurement and b) Indirect measurement  Direct Measurement:  Direct measurement' refers to measuring exactly the thing that you are looking to measure.	3
Explain meaningfulness in measurement	Measurement is the assignment of a number to a characteristic of an object or event, which can be compared with other objects or events. The scope and application of measurement are dependent on the context and discipline.  -Taking proper medicine. If you an illness (whether serious or minor) you need to take your medicine and take it in the proper amount. If you take too little or too much then you are not going to get the proper benefit from it.  -Cooking properly. Cooking of all forms is based on proper attention to measurement. Can you bake a chicken at 600 degrees? Well, you can but the results would be pretty catastrophic! Could you may a cup of tea by dipping a tea bag into a teaspoon of warm water?  -Purchasing clothes. Now, how important could measurements be when selecting clothes? After all, to look good in clothing the main thing you need to pay attention to is style, right? Well, if you weigh 200lbs you aren't going to look stylish in an extra small shirt. Clothing is all based on size and proper fitting which are, of course, variants of measurement.	3
Explain the objectives for software measurement with the perspective of manager and engineer	“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  Objectives for software measurement:-  (i)Managers perspective:  a)What does each process cast?  b)How productive is the staff?  c)How good is code being developed?	3
Explain the objectives for software measurement with the perspective of manager and engineer	With the help of measurement we can get the information about attributes of entities.  -Entity is an objects like as person or room or even events such as journey or testing phase of software in the real world.  -An attribute is a feature, quality or property of an entity such as color of room, the cost of journey or elapsed time of testing phase.  -In general there are two kinds of qualification:-  (i)Measurement is a direct qualification.  (ii) Calculation is indirect qualification, where we take measurement attribute whose value we are trying to understand.  -Measurement is also used in economics to determine prices of the products in the market.  -Measurement in radar system enables to detect aircraft as well as the submarines in water.	3
Explain the objectives for software measurement with the perspective of manager and engineer	Do you find development planning or improvement efforts to be less effective than expected? Are unexpected problems surfacing after release or during development? How many infrastructure problems are directly related to code quality or undetected risks? Software measurement is an engineering process meant to aid in assessing these areas:  Productivity  Code Quality  Code Complexity  Software Risk  Technical Debt  Software Size  Compliance to Standards and Regulations  If your developers are not producing high-quality code or not meeting architecture standards, then numerous problems are likely to surface during or after application implementation. These include increased IT costs, additional maintenance efforts, and reduced security within a complex infrastructure. Software measurement and metrics provide an accurate, objective approach to evaluating these key factors. By having objective metrics, you can more easily identify improvement areas and monitor each effort made toward better development practices.	3
Explain the objectives for software measurement with the perspective of manager and engineer	Software Metrics is a collective term used to describe the very wide range of activities concerned with measurement in software engineering  Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined unambiguous rules.  Once measures are collected they are converted into metrics for use. IEEE defines metric as 'a quantitative measure of the degree to which a system, component, or process possesses a given attribute.' The goal of software metrics is to identify and control essential parameters that affect software development. Other objectives of using software metrics are listed below:  -Measuring the size of the software quantitatively.  -Assessing the level of complexity involved.	3
Explain the objectives for software measurement with the perspective of manager and engineer	The framework for software measurement is based on four principles −  Classifying the entities to be examined  Determining relevant measurement goals  Identifying the level of maturity that the organization has reached  Classifying the Entities to be Examined  In software engineering, mainly three classes of entities exist. They are −  Processes  Products  Resources  All of these entities have internal as well as external entities.  Internal attributes are those that can be measured purely in terms of the process, product, or resources itself. For example: Size, complexity, dependency among modules.	3
What is representational theory of measurement Explain in detail	There are many representational theory for measurement, some of them are as given below  (i)Empirical relation:-There are three types of Empirical relation depending upon the relation we define either on single element (entity) of a set or on collection of elements.  (a)Unary relation:-We define Empirical relation on individual (single) element or entity.  (b)Ternary relation:- We define relation between more than two entities.  (ii)Rules of mapping:-  -Real world is the domain of mapping and mathematical world is range of mapping  (iii)Representation condition of measurement:-  -Representation condition states that a measurement mapping M must map entities into numbers and Empirical relations into numerical relation (mathematical relation) in such a way that Empirical relations are preserved and are preserved by mathematical relations.	3
What is representational theory of measurement Explain in detail	There are several types of representational theory for measurement and some of them are given below  (i)Empirical relation: In Empirical relation there are three types of relations depending on the relation we define on single element of a set or on collection  of elements.  (a)Unary relation  (b)Binary relation  (c)Ternary relation  (ii) Rules of mapping :-  -Real world is a domain of mapping and mathematical words is range of mapping.	3
What is representational theory of measurement Explain in detail	Measurement tells us the rules laying the ground work for developing and reasoning about all kinds of measurement. It is the mapping from the empirical world to the formal relational world.  Empirical Relations:-  If, , X is taller than Y. X, Y are much taller than Z.  Empirical relations can be unary, binary, ternary, etc.  X is tall, Y is not tall are unary relations.  X is taller than Y is a binary relation.  The Representational Condition of Measurement:-  The representational condition asserts that a measurement mapping (M) must map entities into numbers, and empirical relations into numerical relations in such a way that the empirical relations preserve and are preserved by numerical relations.	3
What is representational theory of measurement Explain in detail	"In the representational theory, measurement is defined as ""the correlation of numbers with entities that are not numbers”. The most technically elaborated form of representational theory is also known as additive conjoint measurement. In this form of representational theory, numbers are assigned based on correspondences or similarities between the structure of number systems and the structure of qualitative systems. A property is quantitative if such structural similarities can be established. In weaker forms of representational theory, such as that implicit within the work of Stanley Smith Stevens, numbers need only be assigned according to a rule.  The concept of measurement is often misunderstood as merely the assignment of a value, but it is possible to assign a value in a way that is not a measurement in terms of the requirements of additive conjoint measurement. One may assign a value to a person's height."	3
What is representational theory of measurement Explain in detail	The process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined rules.  The  idea behind the representational theory of measurement is elaborated in the following observations.  EMPIRICAL RELATIONS SYSTEM       The aim is to be able to compare entities. However, it is not automatic that any two   entities E  1   and E  2   are comparable. A comparison between E  1   and E  2   is about relating E  1     and E  2   with respect to some (salient) attribute.      Definition [Empirical Relations System]. Let E is the set of entities and R  E   is the set of   empirical relations for a (salient) attribute A. Then, an empirical relations system is a   couple (E, R  E  ).      The purpose of (E, R  E  ) is to define the intuitive meaning of A by identifying the   empirical relations that hold for A.      A relation can be defined on a single element of a set, or a collection of elements of a   set.      5.1. ORDERS OF RELATIONS      The relations can be classified in different ways, including whether they are unary,   binary, ternary, and so on.      For example, for the attribute height of entities that are humans, a unary empirical   relation is “is tall”.  EMPIRICAL RELATIONS SYSTEM       The aim is to be able to compare entities. However, it is not automatic that any two   entities E  1   and E  2   are comparable. A comparison between E  1   and E  2   is about relating E  1     and E  2   with respect to some (salient) attribute.      Definition [Empirical Relations System]. Let E is the set of entities and R  E   is the set of   empirical relations for a (salient) attribute A. Then, an empirical relations system is a   couple (E, R  E  ).      The purpose of (E, R  E  ) is to define the intuitive meaning of A by identifying the   empirical relations that hold for A.      A relation can be defined on a single element of a set, or a collection of elements of a   set.      5.1. ORDERS OF RELATIONS      The relations can be classified in different ways, including whether they are unary,   binary, ternary, and so on.      For example, for the attribute height of entities that are humans, a unary empirical   relation is “is tall”.  EMPIRICAL RELATIONS SYSTEM     The aim is to be able to compare entities. However, it is not automatic that any two entities E1 and E2 are comparable. A comparison between E1 and E2 is about relating E1 and E2 with respect to some (salient) attribute.    Definition. Let E is the set of entities and RE is the set of empirical relations for a (salient) attribute A. Then, an empirical relations system is a couple (E, RE).    The purpose of (E, RE) is to define the intuitive meaning of A by identifying the empirical relations that hold for A.    A relation can be defined on a single element of a set, or a collection of elements of a set.	3
what is software metrics Explain scope of software metrics in detail	Software metrics is a term that provides many activities, all of which involves some degree of software measurement:-  (i)Cost and effort estimation:-  -We have to use cost and effort estimation models to predict the cost of project during earlier phases of software development life cycle.  -for example Boehm’s Cocomo model, Putnam’s SLIM model,  (ii)Reliability models:-  -Reliability is one of the most important factor in quality model but we need to predict and measure reliability of product.  -Reliability indicates probability of failure free operation.  -We have several parametric reliability growth models to increase the reliability of product. For example, Moronda, Littlewood, Littlewood vorall and Non Homogenous poisons process (NHPP) model.  (iii)Performance evaluation and models:-  -Performance is one of the most aspect of quality.  -Performance evaluation includes characteristics such as response time and completion rates.  -Performance evaluation covers internal working  of system including efficiency of complexity of algorithm.	3
what is software metrics Explain scope of software metrics in detail	There are many types of software metrics, Software metrics are used to measure the quality of the software.  (i)Cost effort estimation:-  -In the cost effort estimation, we use the models to predict the cost of the project before starting the work of developing the software life cycle.  -Examples:- Bohem’s Cocomo model, Putnam’s model, Regression based model, etc.  (ii)Quality models and measures:-  -Quality models like the Bohem’s quality model and MaCall quality model are used with productivity models.  -These Models are constructed in a tree like fashion where the branches on the upper side contain the high level quality factors of the software product such as reliability, usability, user friendliness, etc.  -Each of the quality factor contains the low level criteria such as structure, traceability, etc.  -These low level criteria are easy to understand as  well as easy to measure the factors.  (iii)Structure and complexity:-  -The structural attributes of representation of software are measured which are available in advanced of execution.  -Structure and complexity attributes are used to predict the part of the system which are less reliable, difficult to test or which requires more maintenance than the other parts of the system.	3
what is software metrics Explain scope of software metrics in detail	(i)Performance evaluation and models:-  -Performance evaluation is an integral aspect of quality.  -Performance evaluation is a detailed observation of various factors, both internal and       external.  (ii)Quality Models and measures:-  -Quality models like Bohems quality model and MaCall quality model, and productivity models can be used together for higher accuracy.  -These models almost always are constructed in a tree-like manner with the upper branches indicating the highest level quality factors of any software product such as reliability, usability, etc.  - every quality factor consists of low level criteria like structure, traceability, etc.  - criteria helps in understanding and measuring the factors.  (iii)Reliability models:-  -Reliability functions as a significant factor is quality model, although it needs to be predicted and measured, therefore creating a specialization in itself in reliability modeling and prediction.  - reliability refers to the probability of failure free operation of any system.    - external system performance factors like response times and completion rates.   - internal factors like working of the efficacy of algorithms.  (iv)Structure and complexity :-  - the structural attributes of representation of software are measured which are available in advance of execution.  - the structural attributes help in prediction of the reliability, the difficulty and the requirement of maintenance of a part of any system.	3
what is software metrics Explain scope of software metrics in detail	(i)Performance evaluation and models:-  -Performance evaluation is an integral aspect of quality.  -Performance evaluation is a detailed observation of various factors, both internal and       external.  (ii)Quality Models and measures:-  -Quality models like Bohems quality model and MaCall quality model, and productivity models can be used together for higher accuracy.  -These models almost always are constructed in a tree-like manner with the upper branches indicating the highest level quality factors of any software product such as reliability, usability, etc.  - every quality factor consists of low level criteria like structure, traceability, etc.  - criteria helps in understanding and measuring the factors.  (ii)Reliability models:-  -Reliability functions as a significant factor is quality model, although it needs to be predicted and measured, therefore creating a specialization in itself in reliability modeling and prediction.  - reliability refers to the probability of failure free operation of any system.	3
what is software metrics Explain scope of software metrics in detail	Software development metrics are quantitative measurements of a software product or project, which can help management understand software performance, quality, or the productivity and efficiency of software teams.  Types of Software Metrics  Formal code metrics—Such as Lines of Code (LOC), code complexity, Instruction Path Length, etc. In modern development environments, these are considered less useful.  Developer productivity metrics—Such as active days, assignment scope, efficiency and code churn. These metrics can help you understand how much time and work developers are investing in a software project.  Agile process metrics—Such as lead time, cycle time and velocity. They measure the progress of a dev team in producing working, shipping-quality software features.	3
Explain meaningfulness in measurement	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.  Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  Measurement making the things measurable:-  -Measuring makes nonmeasurable things measurable.  -Measuring the unmeasurable improves our understanding of particular entities and attributes, making engineering more powerful.  Measurement in software engineering:-  -Software engineer describes the collection of techniques that apply on engineering approach to the construction and support of software product.  - Software engineer includes various activities like managing, planning, casting, analyzing, specifying, designing, testing and maintaining.  Measurement is used in all activities, so each activity is understood and controlled.	4
